Branch Name,03/14/2019 Status,06/16/2023 Status,Description
MOSSW_MR2H                      ,Out-Of-Service,In-Service,Changed
MOSSW_MR2T                      ,Out-Of-Service,In-Service,Changed
LARDSTAT_LSTM                   ,Out-Of-Service,In-Service,Changed
SHAFFER_T1                      ,Out-Of-Service,In-Service,Changed
NLARSW_PS1                      ,Out-Of-Service,In-Service,Changed
LGE_13_3                        ,Out-Of-Service,In-Service,Changed
LGE_13_1                        ,Out-Of-Service,In-Service,Changed
LGE_13_2                        ,Out-Of-Service,In-Service,Changed
AIRLINE_XFR2                    ,Out-Of-Service,In-Service,Changed
NEDIN_FMR3                      ,Out-Of-Service,In-Service,Changed
ASHERTON_69A1                   ,Out-Of-Service,In-Service,Changed
SILASRAY_SGT6                   ,Out-Of-Service,In-Service,Changed
SILASRAY_T2                     ,Out-Of-Service,In-Service,Changed
LON_HILL_381H                   ,Out-Of-Service,In-Service,Changed
LON_HILL_381L                   ,Out-Of-Service,In-Service,Changed
LON_HILL_381T                   ,Out-Of-Service,In-Service,Changed
B_DAVIS_18-4                    ,Out-Of-Service,In-Service,Changed
B_DAVIS_22-2                    ,Out-Of-Service,In-Service,Changed
PANDA_S_10AT                    ,Out-Of-Service,In-Service,Changed
S_HILLS_T1                      ,Out-Of-Service,In-Service,Changed
FSHSW_MR1H                      ,Out-Of-Service,In-Service,Changed
FSHSW_MR1L                      ,Out-Of-Service,In-Service,Changed
FSHSW_MR1T                      ,Out-Of-Service,In-Service,Changed
VERN_69T1                       ,Out-Of-Service,In-Service,Changed
CL_AT1                          ,,Out-Of-Service,Missing-In-First
CL_AT1H                         ,,Out-Of-Service,Missing-In-First
CL_AT1T                         ,,Out-Of-Service,Missing-In-First
FORMOSA_TR3Y                    ,,In-Service,Missing-In-First
FORMOSA_TR3H                    ,,In-Service,Missing-In-First
FORMOSA_TR32                    ,,In-Service,Missing-In-First
FORMOSA_TR31                    ,,In-Service,Missing-In-First
FORMOSA_TR33                    ,,In-Service,Missing-In-First
FORMOSA_TR34                    ,,In-Service,Missing-In-First
FORMOSA_TR35                    ,,In-Service,Missing-In-First
PR_TR3                          ,,In-Service,Missing-In-First
PR_TR4                          ,,In-Service,Missing-In-First
CVC_XT1X                        ,,In-Service,Missing-In-First
CVC_XT1Y                        ,,In-Service,Missing-In-First
CVC_XT1H                        ,,In-Service,Missing-In-First
JOR_AT3                         ,,In-Service,Missing-In-First
JOR_AT3H                        ,,In-Service,Missing-In-First
JOR_AT3T                        ,,In-Service,Missing-In-First
JCK_AT3H                        ,,In-Service,Missing-In-First
JCK_AT3                         ,,In-Service,Missing-In-First
JCK_AT3T                        ,,In-Service,Missing-In-First
CITYVICT_GSU1                   ,,In-Service,Missing-In-First
CITYVICT_GSU2                   ,,In-Service,Missing-In-First
PEY_KT1                         ,,In-Service,Missing-In-First
TOPAZ_XT1                       ,,In-Service,Missing-In-First
TOPAZ_XT2                       ,,In-Service,Missing-In-First
TOPAZ_XT3                       ,,In-Service,Missing-In-First
TOPAZ_XT4                       ,,In-Service,Missing-In-First
TOPAZ_XT5                       ,,In-Service,Missing-In-First
TOPAZ_XT6                       ,,In-Service,Missing-In-First
TOPAZ_XT7                       ,,In-Service,Missing-In-First
TOPAZ_XT8                       ,,In-Service,Missing-In-First
TOPAZ_XT9                       ,,In-Service,Missing-In-First
TOPAZ_XT10                      ,,In-Service,Missing-In-First
BOG_T2H                         ,,In-Service,Missing-In-First
BOG_T5H                         ,,In-Service,Missing-In-First
BOG_T4H                         ,,In-Service,Missing-In-First
BOG_T6H                         ,,In-Service,Missing-In-First
BOG_T1                          ,,In-Service,Missing-In-First
BOG_T3                          ,,In-Service,Missing-In-First
BOG_T2S                         ,,In-Service,Missing-In-First
BOG_T2T                         ,,In-Service,Missing-In-First
BOG_T4S                         ,,In-Service,Missing-In-First
BOG_T4T                         ,,In-Service,Missing-In-First
BOG_T5S                         ,,In-Service,Missing-In-First
BOG_T5T                         ,,In-Service,Missing-In-First
BOG_T6S                         ,,In-Service,Missing-In-First
BOG_T6T                         ,,In-Service,Missing-In-First
GAMBIT_T1                       ,,In-Service,Missing-In-First
PLN_KT1                         ,,In-Service,Missing-In-First
PLN_KT2                         ,,In-Service,Missing-In-First
NCO_KT1                         ,,In-Service,Missing-In-First
VICTPRT2_00Y1                   ,,In-Service,Missing-In-First
VICTPRT2_00Y2                   ,,In-Service,Missing-In-First
BCK_KT1                         ,,In-Service,Missing-In-First
BCK_KT2                         ,,In-Service,Missing-In-First
RAB_XT1X                        ,,In-Service,Missing-In-First
RAB_XT1Y                        ,,In-Service,Missing-In-First
RAB_XT2X                        ,,In-Service,Missing-In-First
RAB_XT2Y                        ,,In-Service,Missing-In-First
RAB_XT3X                        ,,In-Service,Missing-In-First
RAB_XT3Y                        ,,In-Service,Missing-In-First
RAB_XT4X                        ,,In-Service,Missing-In-First
RAB_XT4Y                        ,,In-Service,Missing-In-First
RAB_XT1H                        ,,In-Service,Missing-In-First
RAB_XT2H                        ,,In-Service,Missing-In-First
RAB_XT3H                        ,,In-Service,Missing-In-First
RAB_XT4H                        ,,In-Service,Missing-In-First
JAY_KT1                         ,,In-Service,Missing-In-First
JAY_KT2                         ,,In-Service,Missing-In-First
PRO_XT1                         ,,In-Service,Missing-In-First
PRO_XT2                         ,,In-Service,Missing-In-First
PRO_XT3                         ,,In-Service,Missing-In-First
PRO_XT4                         ,,In-Service,Missing-In-First
PRO_XT5                         ,,In-Service,Missing-In-First
PRO_XT6                         ,,In-Service,Missing-In-First
PRO_XT7                         ,,In-Service,Missing-In-First
PRO_XT8                         ,,In-Service,Missing-In-First
SBE_KT1                         ,,In-Service,Missing-In-First
TAV_KT1                         ,,In-Service,Missing-In-First
TAV_KT2                         ,,In-Service,Missing-In-First
LON_KT01                        ,,In-Service,Missing-In-First
BCH_XT1                         ,,In-Service,Missing-In-First
BCH_XT2                         ,,In-Service,Missing-In-First
BCH_XT3                         ,,In-Service,Missing-In-First
BCH_XT4                         ,,In-Service,Missing-In-First
BCH_XT5                         ,,In-Service,Missing-In-First
BCH_XT6                         ,,In-Service,Missing-In-First
LIG_XT1                         ,,In-Service,Missing-In-First
LIG_XT2                         ,,In-Service,Missing-In-First
ROW_KT1                         ,,In-Service,Missing-In-First
DAG_KT1                         ,,In-Service,Missing-In-First
DAG_KT2                         ,,In-Service,Missing-In-First
BYRDR_ES_T1                     ,,In-Service,Missing-In-First
MUSTNGCK_T1                     ,,In-Service,Missing-In-First
MUSTNGCK_T2                     ,,In-Service,Missing-In-First
MYR_KT1                         ,,In-Service,Missing-In-First
MYR_KT2                         ,,In-Service,Missing-In-First
TGS_XT1                         ,,In-Service,Missing-In-First
BTM_XT1                         ,,In-Service,Missing-In-First
