South_Node,Connected_Node,Correlation,Rank
CCEC_GT2,VENADO_ALL,0.9684100664666992,36.0
CCEC_GT2,SIL_SILAS_10,0.9684059319005326,37.0
CCEC_GT2,SIL_SILAS_9,0.9684019553297687,38.0
CCEC_GT2,SIL_SILAS_6,0.9684019553297687,39.0
CCEC_GT2,REDGATE_ALL,0.968386177387291,40.0
CCEC_GT2,REDGATE_RN,0.968386177387291,41.0
CCEC_GT2,DUKE_GT2_CCU,0.9683654154105543,42.0
CCEC_GT2,DUKE_GST1CCU,0.9683654154105543,43.0
CCEC_GT2,NED_NEDIN_G1,0.9683573663812512,44.0
CCEC_GT2,NED_NEDIN_G3,0.9682980001479143,45.0
CCEC_GT2,FRONT_EC_RN1,0.9682957942298074,46.0
CCEC_GT2,FRONT_EC_RN2,0.9682957942298074,47.0
CCEC_GT2,FRONT_EC_RN3,0.9682957942298074,48.0
CCEC_GT2,RELOJ_ALL,0.9682932244021784,49.0
CCEC_GT2,BORDAS_345,0.9682932244021784,50.0
CCEC_ST1,WHITE_PT_UN1,0.9799770621992827,1.0
CCEC_ST1,INGLCO_PUN3,0.9797632318690492,2.0
CCEC_ST1,INGLCO_PUN2,0.979762034081119,3.0
CCEC_ST1,INGLCO_PUN1,0.97976188325408,4.0
CCEC_ST1,LGE_PUN2,0.979746805917618,5.0
CCEC_ST1,PAP1_PAP1,0.9753820204178664,6.0
CCEC_ST1,COTTON_PAP2,0.9753820204178664,7.0
CCEC_ST1,LGE_PUN1,0.9740027480949067,8.0
CCEC_ST1,LGE_LGE_STG,0.9740027480949067,9.0
CCEC_ST1,LGE_LGE_GT2,0.9740027480949067,10.0
CCEC_ST1,LGE_LGE_GT1,0.9740027480949067,11.0
CCEC_ST1,SHAFFER_ALL,0.9728095227122275,12.0
CCEC_ST1,OXY_OXY_CCG1,0.9720440723437614,13.0
CCEC_ST1,OXY_PUN1,0.9720439721849308,14.0
CCEC_ST1,OXY_PUN2,0.9720437365658716,15.0
CCEC_ST1,FOXTROT_ALL,0.9701424545257455,16.0
CCEC_ST1,SPARTA_ALL,0.9701424545257455,17.0
CCEC_ST1,LARDVFTN_G4,0.9691034093709568,18.0
CCEC_ST1,LARDVFTN_G5,0.9691034093709568,19.0
CCEC_ST1,DC_L,0.9690951626563736,20.0
CCEC_ST1,KARAKAW2_1,0.9690698329472378,21.0
CCEC_ST1,KARAKAW1_1,0.9690698329472378,22.0
CCEC_ST1,WFTANK_ESS1,0.9687457906483412,23.0
CCEC_ST1,GARC_BESS_RN,0.9685572973451211,24.0
CCEC_ST1,MIRASOLE_GEN,0.9685401629962764,25.0
CCEC_ST1,ALGOD_ALL_RN,0.9685256829626456,26.0
CCEC_ST1,LV4_UNIT_1,0.9684902942256024,27.0
CCEC_ST1,LV3_UNIT1,0.9684902942256024,28.0
CCEC_ST1,CABEZON_ALL,0.9684902942256024,29.0
CCEC_ST1,MESTENO_RN,0.9684902942256024,30.0
CCEC_ST1,FAL_FALCONG2,0.9684823767742011,31.0
CCEC_ST1,FAL_FALCONG3,0.9684823767742011,32.0
CCEC_ST1,FAL_FALCONG1,0.9684823767742011,33.0
CCEC_ST1,RN_SR_WIND1,0.9684210363775669,34.0
CCEC_ST1,BRP_LOP1_RN,0.9684171611401416,35.0
CCEC_ST1,VENADO_ALL,0.9684100664666992,36.0
CCEC_ST1,SIL_SILAS_10,0.9684059319005326,37.0
CCEC_ST1,SIL_SILAS_9,0.9684019553297687,38.0
CCEC_ST1,SIL_SILAS_6,0.9684019553297687,39.0
CCEC_ST1,REDGATE_ALL,0.968386177387291,40.0
CCEC_ST1,REDGATE_RN,0.968386177387291,41.0
CCEC_ST1,DUKE_GT2_CCU,0.9683654154105543,42.0
CCEC_ST1,DUKE_GST1CCU,0.9683654154105543,43.0
CCEC_ST1,NED_NEDIN_G1,0.9683573663812512,44.0
CCEC_ST1,NED_NEDIN_G3,0.9682980001479143,45.0
CCEC_ST1,FRONT_EC_RN1,0.9682957942298074,46.0
CCEC_ST1,FRONT_EC_RN2,0.9682957942298074,47.0
CCEC_ST1,FRONT_EC_RN3,0.9682957942298074,48.0
CCEC_ST1,RELOJ_ALL,0.9682932244021784,49.0
CCEC_ST1,BORDAS_345,0.9682932244021784,50.0
DUKE_GST1CCU,WL_RANCH_RN,0.9799892128958924,1.0
DUKE_GST1CCU,HAYSEN1_2,0.9799406637190704,2.0
DUKE_GST1CCU,GUADG_CCU1,0.9797743796242709,3.0
DUKE_GST1CCU,GUADG_CCU2,0.9797743796242709,4.0
DUKE_GST1CCU,HHGT_KENDAL,0.9788316552600768,5.0
DUKE_GST1CCU,RHESS2_ESS1,0.978803551803524,6.0
DUKE_GST1CCU,WNDTS2_UNIT1,0.978729830575349,7.0
DUKE_GST1CCU,BRAUNIG_VHB2,0.9782511859807587,8.0
DUKE_GST1CCU,BRAUNIG_VHB1,0.9782511859807587,9.0
DUKE_GST1CCU,BR_VHB6CT5_6,0.9782511859807587,10.0
DUKE_GST1CCU,BR_VHB6CT7_8,0.9782511859807587,11.0
DUKE_GST1CCU,CALAVER_OWS1,0.9781217514219359,12.0
DUKE_GST1CCU,CALAVER_OWS2,0.9781217514219359,13.0
DUKE_GST1CCU,LEONLCPCT3_4,0.978076116646595,14.0
DUKE_GST1CCU,LEONLCPCT1_2,0.978076116646595,15.0
DUKE_GST1CCU,RN_OCI_ALAMO,0.9779796074780489,16.0
DUKE_GST1CCU,BRAUNIG_VHB3,0.9778616629102203,17.0
DUKE_GST1CCU,CALAVER_JTD2,0.9778289156387798,18.0
DUKE_GST1CCU,CALAVER_JTD1,0.9778289156387798,19.0
DUKE_GST1CCU,LZ_CPS,0.977517800306516,20.0
DUKE_GST1CCU,BRA_AVR1_CT2,0.977490345899466,21.0
DUKE_GST1CCU,BRA_AVR_CST1,0.977490345899466,22.0
DUKE_GST1CCU,CALAVER_JKS1,0.9769209874949458,23.0
DUKE_GST1CCU,CALAVER_JKS2,0.9769209874949458,24.0
DUKE_GST1CCU,X443ESRN,0.976473976637993,25.0
DUKE_GST1CCU,NUE_NUECESG9,0.9761217403090625,26.0
DUKE_GST1CCU,NUE_NUECESG8,0.9761217403090625,27.0
DUKE_GST1CCU,BRP_RN_UNIT1,0.9748454644523453,28.0
DUKE_GST1CCU,ROSELAND_ALL,0.9715086012924652,29.0
DUKE_GST1CCU,SCES_UNIT1,0.9712821309340853,30.0
DUKE_GST1CCU,OLNEYTN_RN,0.9696338433562532,31.0
DUKE_GST1CCU,NUE_NUECESG7,0.9690329418398639,32.0
DUKE_GST1CCU,CCEC_ST1,0.9683654154105542,33.0
DUKE_GST1CCU,CCEC_PUN2,0.9683654154105542,34.0
DUKE_GST1CCU,CCEC_PUN1,0.9683654154105542,35.0
DUKE_GST1CCU,CCEC_GT2,0.9683654154105542,36.0
DUKE_GST1CCU,CCEC_GT1,0.9683654154105542,37.0
DUKE_GST1CCU,BRANDON_RN,0.9638229144835644,38.0
DUKE_GST1CCU,BRP_PBL2_RN,0.8105385598098933,39.0
DUKE_GST1CCU,BRP_PBL1_RN,0.8105371179096538,40.0
DUKE_GT2_CCU,WL_RANCH_RN,0.9799892128958924,1.0
DUKE_GT2_CCU,HAYSEN1_2,0.9799406637190704,2.0
DUKE_GT2_CCU,GUADG_CCU1,0.9797743796242709,3.0
DUKE_GT2_CCU,GUADG_CCU2,0.9797743796242709,4.0
DUKE_GT2_CCU,HHGT_KENDAL,0.9788316552600768,5.0
DUKE_GT2_CCU,RHESS2_ESS1,0.978803551803524,6.0
DUKE_GT2_CCU,WNDTS2_UNIT1,0.978729830575349,7.0
DUKE_GT2_CCU,BRAUNIG_VHB2,0.9782511859807587,8.0
DUKE_GT2_CCU,BRAUNIG_VHB1,0.9782511859807587,9.0
DUKE_GT2_CCU,BR_VHB6CT5_6,0.9782511859807587,10.0
DUKE_GT2_CCU,BR_VHB6CT7_8,0.9782511859807587,11.0
DUKE_GT2_CCU,CALAVER_OWS1,0.9781217514219359,12.0
DUKE_GT2_CCU,CALAVER_OWS2,0.9781217514219359,13.0
DUKE_GT2_CCU,LEONLCPCT3_4,0.978076116646595,14.0
DUKE_GT2_CCU,LEONLCPCT1_2,0.978076116646595,15.0
DUKE_GT2_CCU,RN_OCI_ALAMO,0.9779796074780489,16.0
DUKE_GT2_CCU,BRAUNIG_VHB3,0.9778616629102203,17.0
DUKE_GT2_CCU,CALAVER_JTD2,0.9778289156387798,18.0
DUKE_GT2_CCU,CALAVER_JTD1,0.9778289156387798,19.0
DUKE_GT2_CCU,LZ_CPS,0.977517800306516,20.0
DUKE_GT2_CCU,BRA_AVR1_CT2,0.977490345899466,21.0
DUKE_GT2_CCU,BRA_AVR_CST1,0.977490345899466,22.0
DUKE_GT2_CCU,CALAVER_JKS1,0.9769209874949458,23.0
DUKE_GT2_CCU,CALAVER_JKS2,0.9769209874949458,24.0
DUKE_GT2_CCU,X443ESRN,0.976473976637993,25.0
DUKE_GT2_CCU,NUE_NUECESG9,0.9761217403090625,26.0
DUKE_GT2_CCU,NUE_NUECESG8,0.9761217403090625,27.0
DUKE_GT2_CCU,BRP_RN_UNIT1,0.9748454644523453,28.0
DUKE_GT2_CCU,ROSELAND_ALL,0.9715086012924652,29.0
DUKE_GT2_CCU,SCES_UNIT1,0.9712821309340853,30.0
DUKE_GT2_CCU,OLNEYTN_RN,0.9696338433562532,31.0
DUKE_GT2_CCU,NUE_NUECESG7,0.9690329418398639,32.0
DUKE_GT2_CCU,CCEC_ST1,0.9683654154105542,33.0
DUKE_GT2_CCU,CCEC_PUN2,0.9683654154105542,34.0
DUKE_GT2_CCU,CCEC_PUN1,0.9683654154105542,35.0
DUKE_GT2_CCU,CCEC_GT2,0.9683654154105542,36.0
DUKE_GT2_CCU,CCEC_GT1,0.9683654154105542,37.0
DUKE_GT2_CCU,BRANDON_RN,0.9638229144835644,38.0
DUKE_GT2_CCU,BRP_PBL2_RN,0.8105385598098933,39.0
DUKE_GT2_CCU,BRP_PBL1_RN,0.8105371179096538,40.0
GUADG_CCU1,BRP_LOP1_RN,0.9799093063157001,1.0
GUADG_CCU1,VENADO_ALL,0.9798625625007497,2.0
GUADG_CCU1,DUKE_GT2_CCU,0.9797743796242709,3.0
GUADG_CCU1,DUKE_GST1CCU,0.9797743796242709,4.0
GUADG_CCU1,REDGATE_ALL,0.979719422629055,5.0
GUADG_CCU1,REDGATE_RN,0.979719422629055,6.0
GUADG_CCU1,NED_NEDIN_G2,0.9797067647616208,7.0
GUADG_CCU1,NED_NEDIN_G1,0.9796143843780452,8.0
GUADG_CCU1,CRANELL_ALL,0.9796086482166224,9.0
GUADG_CCU1,BLACKJAK_RN,0.9796086482166224,10.0
GUADG_CCU1,FAL_FALCONG2,0.9795845156400028,11.0
GUADG_CCU1,FAL_FALCONG3,0.9795845156400028,12.0
GUADG_CCU1,FAL_FALCONG1,0.9795845156400028,13.0
GUADG_CCU1,LGE_LGE_GT1,0.9794563547798754,14.0
GUADG_CCU1,LGE_LGE_STG,0.9794563547798754,15.0
GUADG_CCU1,LGE_PUN1,0.9794563547798754,16.0
GUADG_CCU1,LGE_LGE_GT2,0.9794563547798754,17.0
GUADG_CCU1,LV5_UNIT1,0.9793624780651321,18.0
GUADG_CCU1,OXY_PUN2,0.9792192371588722,19.0
GUADG_CCU1,OXY_PUN1,0.9792187120748345,20.0
GUADG_CCU1,OXY_OXY_CCG1,0.9792184318624431,21.0
GUADG_CCU1,PAP1_PAP1,0.9791953259406063,22.0
GUADG_CCU1,COTTON_PAP2,0.9791953259406063,23.0
GUADG_CCU1,GARC_BESS_RN,0.9791828913611252,24.0
GUADG_CCU1,FRONT_EC_RN3,0.9791073052495444,25.0
GUADG_CCU1,FRONT_EC_RN2,0.9791073052495444,26.0
GUADG_CCU1,FRONT_EC_RN1,0.9791073052495444,27.0
GUADG_CCU1,MADERO_RN,0.9789250516279588,28.0
GUADG_CCU1,DC_R,0.9789248248026107,29.0
GUADG_CCU1,NED_NEDIN_G3,0.9787805065866894,30.0
GUADG_CCU1,N_AL_BESS_RN,0.977838801975326,31.0
GUADG_CCU1,NEBULA_RN,0.9778050643105798,32.0
GUADG_CCU1,VANCOURT_RN,0.9778050643105798,33.0
GUADG_CCU1,LGE_PUN2,0.9777839737734804,34.0
GUADG_CCU1,INGLCO_PUN1,0.9777676778660236,35.0
GUADG_CCU1,INGLCO_PUN2,0.9777657697259939,36.0
GUADG_CCU1,INGLCO_PUN3,0.9777631310385849,37.0
GUADG_CCU1,MIRASOLE_GEN,0.9776208281813126,38.0
GUADG_CCU1,RN_SR_WIND1,0.9773401456709676,39.0
GUADG_CCU1,WHITE_PT_UN1,0.9773303944623295,40.0
GUADG_CCU1,MV_VALV4_RN,0.9773077286623043,41.0
GUADG_CCU1,SIL_SILAS_6,0.9772919295852788,42.0
GUADG_CCU1,SIL_SILAS_9,0.9772919295852788,43.0
GUADG_CCU1,SIL_SILAS_10,0.977286419072717,44.0
GUADG_CCU1,REDFISH_ALL,0.9772457463158272,45.0
GUADG_CCU1,SHAFFER_ALL,0.9771773623548669,46.0
GUADG_CCU1,LV3_UNIT1,0.977137651821885,47.0
GUADG_CCU1,LV4_UNIT_1,0.977137651821885,48.0
GUADG_CCU1,MESTENO_RN,0.977137651821885,49.0
GUADG_CCU1,CABEZON_ALL,0.977137651821885,50.0
GUADG_CCU2,BRP_LOP1_RN,0.9799093063157001,1.0
GUADG_CCU2,VENADO_ALL,0.9798625625007497,2.0
GUADG_CCU2,DUKE_GT2_CCU,0.9797743796242709,3.0
GUADG_CCU2,DUKE_GST1CCU,0.9797743796242709,4.0
GUADG_CCU2,REDGATE_ALL,0.979719422629055,5.0
GUADG_CCU2,REDGATE_RN,0.979719422629055,6.0
GUADG_CCU2,NED_NEDIN_G2,0.9797067647616208,7.0
GUADG_CCU2,NED_NEDIN_G1,0.9796143843780452,8.0
GUADG_CCU2,CRANELL_ALL,0.9796086482166224,9.0
GUADG_CCU2,BLACKJAK_RN,0.9796086482166224,10.0
GUADG_CCU2,FAL_FALCONG2,0.9795845156400028,11.0
GUADG_CCU2,FAL_FALCONG3,0.9795845156400028,12.0
GUADG_CCU2,FAL_FALCONG1,0.9795845156400028,13.0
GUADG_CCU2,LGE_LGE_GT1,0.9794563547798754,14.0
GUADG_CCU2,LGE_LGE_STG,0.9794563547798754,15.0
GUADG_CCU2,LGE_PUN1,0.9794563547798754,16.0
GUADG_CCU2,LGE_LGE_GT2,0.9794563547798754,17.0
GUADG_CCU2,LV5_UNIT1,0.9793624780651321,18.0
GUADG_CCU2,OXY_PUN2,0.9792192371588722,19.0
GUADG_CCU2,OXY_PUN1,0.9792187120748345,20.0
GUADG_CCU2,OXY_OXY_CCG1,0.9792184318624431,21.0
GUADG_CCU2,PAP1_PAP1,0.9791953259406063,22.0
GUADG_CCU2,COTTON_PAP2,0.9791953259406063,23.0
GUADG_CCU2,GARC_BESS_RN,0.9791828913611252,24.0
GUADG_CCU2,FRONT_EC_RN3,0.9791073052495444,25.0
GUADG_CCU2,FRONT_EC_RN2,0.9791073052495444,26.0
GUADG_CCU2,FRONT_EC_RN1,0.9791073052495444,27.0
GUADG_CCU2,MADERO_RN,0.9789250516279588,28.0
GUADG_CCU2,DC_R,0.9789248248026107,29.0
GUADG_CCU2,NED_NEDIN_G3,0.9787805065866894,30.0
GUADG_CCU2,N_AL_BESS_RN,0.977838801975326,31.0
GUADG_CCU2,NEBULA_RN,0.9778050643105798,32.0
GUADG_CCU2,VANCOURT_RN,0.9778050643105798,33.0
GUADG_CCU2,LGE_PUN2,0.9777839737734804,34.0
GUADG_CCU2,INGLCO_PUN1,0.9777676778660236,35.0
GUADG_CCU2,INGLCO_PUN2,0.9777657697259939,36.0
GUADG_CCU2,INGLCO_PUN3,0.9777631310385849,37.0
GUADG_CCU2,MIRASOLE_GEN,0.9776208281813126,38.0
GUADG_CCU2,RN_SR_WIND1,0.9773401456709676,39.0
GUADG_CCU2,WHITE_PT_UN1,0.9773303944623295,40.0
GUADG_CCU2,MV_VALV4_RN,0.9773077286623043,41.0
