Expanded Branch Name,03/20/2024  RATEA,03/21/2024 RATEA,Percent Change
UTOPIA-TARPLE   69.0KV 9525_T21501_1                   ,141.6,78.4,57.454545454545446
RISNGSTR-NIMROD   138.0KV RIS_NIMR_1                      ,220.55,418.0,61.84323858742463
