Expanded Branch Name,03/21/2024  RATEB,03/20/2024 RATEB,Percent Change
UTOPIA-TARPLE   69 KV 9525_T21501_1                   ,78.4,141.6,-57.454545454545446
RISNGSTR-NIMROD   138 KV RIS_NIMR_1                      ,418.0,220.55,61.84323858742463
