Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL
CAL_PUN1+HB_HOUSTON,CAL_PUN1,HB_HOUSTON,24HR,Option,2024-05-01,0.0,0.0,0.18546451612903225,0.0862494623655914,0.4087817204301075,0.08835913978494624,0.11449892473118278,0.157852688172043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAL_PUN2+HB_HOUSTON,CAL_PUN2,HB_HOUSTON,24HR,Obligation,2024-05-01,0.0,0.0,-0.9184935483870966,-1.4035129032258065,-2.8204086021505375,-3.893443010752688,-4.2875892473118284,-3.939478494623656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAL_PUN2+HB_HOUSTON,CAL_PUN2,HB_HOUSTON,24HR,Option,2024-05-01,0.0,0.0,0.18546451612903225,0.04121505376344086,0.18300215053763438,0.046993548387096774,0.13598602150537636,0.08574193548387098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCEC_GT1+HB_SOUTH,CCEC_GT1,HB_SOUTH,24HR,Obligation,2024-05-01,0.0,0.0,-2.514579569892473,-1.9713623655913977,1.0928505376344086,5.276977419354838,2.7403279569892476,3.394347311827957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCEC_GT1+HB_SOUTH,CCEC_GT1,HB_SOUTH,24HR,Option,2024-05-01,0.0,0.0,2.3135494623655912,3.718331182795699,6.377570967741936,6.665209677419355,4.429840860215053,5.3115107526881715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCEC_GT2+HB_SOUTH,CCEC_GT2,HB_SOUTH,24HR,Obligation,2024-05-01,0.0,0.0,-2.514579569892473,-1.9713623655913977,1.0928505376344086,5.276977419354838,2.7403279569892476,3.394347311827957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCEC_GT2+HB_SOUTH,CCEC_GT2,HB_SOUTH,24HR,Option,2024-05-01,0.0,0.0,2.2902096774193548,3.718331182795699,6.377570967741936,6.665209677419355,4.429840860215053,5.3115107526881715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCEC_ST1+HB_SOUTH,CCEC_ST1,HB_SOUTH,24HR,Obligation,2024-05-01,0.0,0.0,-2.514579569892473,-1.9713623655913977,1.0928505376344086,5.276977419354838,2.7403279569892476,3.394347311827957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCEC_ST1+HB_SOUTH,CCEC_ST1,HB_SOUTH,24HR,Option,2024-05-01,0.0,0.0,2.2902096774193548,3.718331182795699,6.377570967741936,6.665209677419355,4.429840860215053,5.3115107526881715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEDPW_GT2+HB_HOUSTON,CHEDPW_GT2,HB_HOUSTON,24HR,Obligation,2024-05-01,0.0,0.0,-0.5620978494623656,-1.3363440860215055,-1.302568817204301,-1.2808086021505376,-1.0991494623655913,-1.025915053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEDPW_GT2+HB_HOUSTON,CHEDPW_GT2,HB_HOUSTON,24HR,Option,2024-05-01,0.0,0.0,0.14087849462365593,0.058193548387096776,0.17706129032258064,0.16129892473118276,0.19001397849462368,0.18174408602150538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE_LYD+HB_HOUSTON,CHE_LYD,HB_HOUSTON,24HR,Obligation,2024-05-01,0.0,0.0,-0.541610752688172,-1.0542032258064515,-1.2679774193548388,-1.459540860215054,-1.3078956989247312,-1.2709741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE_LYD+HB_HOUSTON,CHE_LYD,HB_HOUSTON,24HR,Option,2024-05-01,0.0,0.0,0.09322795698924731,0.056989247311827966,0.22728172043010753,0.18931075268817202,0.24744946236559137,0.1847752688172043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE_LYD2+HB_HOUSTON,CHE_LYD2,HB_HOUSTON,24HR,Obligation,2024-05-01,0.0,0.0,-0.541610752688172,-1.0542032258064515,-1.2679774193548388,-1.459540860215054,-1.3078956989247312,-1.2709741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE_LYD2+HB_HOUSTON,CHE_LYD2,HB_HOUSTON,24HR,Option,2024-05-01,0.0,0.0,0.09322795698924731,0.07178924731182797,0.25321505376344083,0.1868720430107527,0.21741182795698924,0.18409677419354836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_E+HB_NORTH,DC_E,HB_NORTH,24HR,Obligation,2024-05-01,0.0,0.0,-0.6193462365591398,-0.3725236559139784,-0.6677505376344087,0.14279139784946235,0.8479419354838709,0.7570666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_E+HB_NORTH,DC_E,HB_NORTH,24HR,Option,2024-05-01,0.0,0.0,0.4536172043010753,0.6803086021505377,0.487289247311828,0.5443225806451613,0.45459892473118274,1.0645559139784946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
