Year,Month,Name,Limit,DeviceName,DeviceType,FlowDirection,Factor
2018,6,EASTEX,99999.0,3100 MARTINLK 3105 ELKTON_5 1,LINE,From-To,1
2018,6,EASTEX,99999.0,3100 MARTINLK 3109 STRYKER_ 1,LINE,From-To,1
2018,6,EASTEX,99999.0,3100 MARTINLK 3102 TYLERGND 1,LINE,From-To,1
2018,6,EASTEX,99999.0,3100 MARTINLK 3103 SHAMBRGR 1,LINE,From-To,1
2018,6,PNHNDL,3268.0,59904 COTTONW 60500 EDITHCL 2,LINE,From-To,1
2018,6,PNHNDL,3268.0,60501 TESLA7A 61001 JIMTREE 1,LINE,From-To,1
2018,6,PNHNDL,3268.0,59904 COTTONW 60500 EDITHCL 1,LINE,From-To,1
2018,6,PNHNDL,3268.0,60500 EDITHCL 60501 TESLA7A 1,LINE,To-From,1
2018,6,PNHNDL,3268.0,11305 DERMOTT 59904 COTTONW 2,LINE,To-From,1
2018,6,PNHNDL,3268.0,60500 EDITHCL 60501 TESLA7A 2,LINE,To-From,1
2018,6,PNHNDL,3268.0,11305 DERMOTT 59904 COTTONW 1,LINE,To-From,1
2018,6,PNHNDL,3268.0,6101 RILEY7A 60501 TESLA7A 1,LINE,To-From,1
2018,6,N_TO_H,4820.0,40600 ROANS__ 45972 KUYDAL7 75,LINE,From-To,1
2018,6,N_TO_H,4820.0,967 GIBN_CREK 44900 ZENITH_ 50,LINE,From-To,1
2018,6,N_TO_H,4820.0,44645 SNGLTN_ 44900 ZENITH_ 98,LINE,From-To,1
2018,6,N_TO_H,4820.0,967 GIBN_CREK 44900 ZENITH_ 18,LINE,From-To,1
2018,6,N_TO_H,4820.0,44645 SNGLTN_ 46500 TOMBAL_ 74,LINE,From-To,1
2018,6,N_TO_H,4820.0,44645 SNGLTN_ 44900 ZENITH_ 99,LINE,From-To,1
2018,6,MCCAMY,99999.0,6630 FTST4A 60383 LINTERN 1,LINE,From-To,1
2018,6,MCCAMY,99999.0,6630 FTST4A 38340 TNAIRPO 1,LINE,From-To,1
2018,6,MCCAMY,99999.0,6630 FTST4A 132482 RIGGIN 1,LINE,From-To,1
2018,6,MCCAMY,99999.0,60014 SPUD4A 76615 L_LCRAN 1,LINE,From-To,1
2018,6,MCCAMY,99999.0,76040 L_CASTI 76615 L_LCRAN 1,LINE,From-To,1
2018,6,MCCAMY,99999.0,6601 RIOPECOS 76615 L_LCRAN 1,LINE,From-To,1
2018,6,MCCAMY,99999.0,76003 L_BIGHI 76005 L_SCHND 1,LINE,To-From,1
2018,6,MCCAMY,99999.0,11028 ODESEHV 76000 L_NORTM 1,LINE,To-From,1
2018,6,MCCAMY,99999.0,76615 L_LCRAN 76635 L_KINGM 1,LINE,To-From,1
2018,6,MCCAMY,99999.0,76579 L_FORTL 76582 L_MEVIS 1,LINE,To-From,1
2018,6,MCCAMY,99999.0,60361 SANTARI 76032 L_NORTM 1,LINE,To-From,1
2018,6,MCCAMY,99999.0,38310 TN16TH_ 38330 TNWDWRD 1,LINE,To-From,1
2018,6,MCCAMY,99999.0,6628 FTST2A 69 6630 FTST4A 138 1,XFMR,To-From,1
2018,6,MCCAMY,99999.0,6598 RIOPECOS 69 6601 RIOPECOS 138 2,XFMR,To-From,1
2018,6,MCCAMY,99999.0,6556 YATW_SW2 69 76013 L_WESTY 138 1,XFMR,To-From,1
2018,6,MCCAMY,99999.0,38420 TNWHITE 69 38430 TNWHITE 138 1,XFMR,To-From,1
2018,6,MCCAMY,99999.0,6598 RIOPECOS 69 6601 RIOPECOS 138 1,XFMR,To-From,1
2018,6,NELRIO,99999.0,80076 AJO7A 85000 N_SHARP 1,LINE,From-To,1
2018,6,NELRIO,99999.0,8902 RIOHONDO 80512 MGVLYTP 1,LINE,To-From,1
2018,6,VALIMP,1751.0,8455 LONHILL7 8905 NEDIN7C 1,LINE,From-To,1
2018,6,VALIMP,1751.0,8896 RACHAL4A 88380 RGTAP4A 1,LINE,From-To,1
2018,6,VALIMP,1751.0,5742 YTURRIAS 8302 RAYMND24 1,LINE,From-To,1
2018,6,VALIMP,1751.0,8795 ROMA_SW4 80106 FALCONS 1,LINE,To-From,1
2018,6,VALIMP,1751.0,8902 RIOHONDO 80512 MGVLYTP 1,LINE,To-From,1
2018,6,VALIMP,1751.0,8383 NEDIN7A 8574 POMELO7A 1,LINE,To-From,1
