Operations_Name,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1601_A,Line,To - From,-146.7,146.7,Hard Constraint,DSTPDOW5,FEB_2019,PeakWE,5.84
1560_E,Line,To - From,-230.4,230.4,Hard Constraint,STNSTCO8,FEB_2019,Off-peak,0.21
1560_E,Line,From - To,230.4,230.4,Hard Constraint,STNSTCO8,FEB_2019,Off-peak,3.21
1560_E,Line,From - To,230.4,230.4,Hard Constraint,STNSTCO8,FEB_2019,PeakWE,3.62
6200_D,Line,From - To,281.7,281.7,Hard Constraint,DCDHVEN5,FEB_2019,PeakWD,8431.4
6200_D,Line,From - To,281.7,281.7,Hard Constraint,DCDHVEN5,FEB_2019,PeakWE,2003.25
730_D,Line,From - To,303.3,303.3,Hard Constraint,DEULLIG8,FEB_2019,Off-peak,2113.13
730_D,Line,From - To,340.1,340.1,Hard Constraint,DEULLIG8,FEB_2019,PeakWD,7047.58
730_D,Line,From - To,333.3,333.3,Hard Constraint,DEULLIG8,FEB_2019,PeakWE,2555.61
6415_C,Line,To - From,-281.7,281.7,Hard Constraint,DEVRHLS8,FEB_2019,Off-peak,73.13
6415_C,Line,To - From,-281.7,281.7,Hard Constraint,DEVRHLS8,FEB_2019,PeakWD,2058.29
6415_C,Line,To - From,-281.7,281.7,Hard Constraint,DEVRHLS8,FEB_2019,PeakWE,204.28
1210_C,Line,To - From,-89.1,89.1,Hard Constraint,DBBSRCH5,FEB_2019,PeakWE,558.05
100027_D,Line,From - To,61.2,61.2,Hard Constraint,DSAMTHS5,FEB_2019,Off-peak,52.22
100027_D,Line,To - From,-61.2,61.2,Hard Constraint,XDCS58,FEB_2019,Off-peak,18.03
100027_D,Line,From - To,61.2,61.2,Hard Constraint,DSAMTHS5,FEB_2019,PeakWD,72.64
100027_D,Line,To - From,-61.2,61.2,Hard Constraint,SGRBBNK9,FEB_2019,PeakWD,38.07
100027_D,Line,From - To,61.2,61.2,Hard Constraint,DSAMTHS5,FEB_2019,PeakWE,42.03
3180,Line,To - From,-215.4,215.4,Hard Constraint,DCDHVEN5,FEB_2019,Off-peak,1687.64
