Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2023-07-01,,,0.1464,-0.01,0.0295,0.0156,0.1933,-0.1982,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2023-08-01,,,0.1537,-0.1568,0.0393,-0.0175,0.0689,-0.1844,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2023-09-01,,,0.2009,0.016,0.0311,0.1662,0.3514,-0.1797,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2023-10-01,,,0.3251,-0.0518,0.0975,-0.1483,-0.281,-0.9262,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2023-11-01,,,0.3177,0.2449,0.4598,0.102,-0.0467,-0.5753,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2023-12-01,,,0.0883,0.1078,0.2823,0.1381,0.0413,-0.2894,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-01-01,,,0.0778,0.9403,0.0056,-0.3687,-0.2905,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-02-01,,,0.1236,0.2533,-1.8432,-0.3072,-0.258,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-03-01,,,0.1848,0.8740000000000001,-0.5743,-0.3888,-0.4793,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-04-01,,,0.1886,0.6466,-2.1178,-0.3255,-0.6486,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-05-01,,,0.1226,0.8240000000000001,-0.0333,-0.2263,-0.4788,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-06-01,,,-0.0187,0.6155,-2.661,1.0797,-0.1438,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-07-01,,,0.4274,-0.0162,0.2873,,,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-08-01,,,0.4828,-0.7423,0.3884,,,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-09-01,,,0.2921,0.6427,0.2082,,,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-10-01,,,0.6823,0.5321,-0.1977,,,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-11-01,,,0.4725,-0.1646,0.3691,,,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2024-12-01,,,0.39899999999999997,-1.8791,-0.0928,,,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2025-01-01,,,-0.0849,-0.3028,,,,,,,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2025-02-01,,,0.1614,-0.2534,,,,,,,,,,,,
