Branch Name,03/14/2019 Status,06/16/2023 Status,Description
6625__F                         ,In-Service,Out-Of-Service,Changed
HUD_CKT11_1                     ,Out-Of-Service,In-Service,Changed
HUD_CKT15_1                     ,Out-Of-Service,In-Service,Changed
CTZJCK48_A                      ,Out-Of-Service,In-Service,Changed
REDTML79_A                      ,Out-Of-Service,In-Service,Changed
LN01_1                          ,Out-Of-Service,In-Service,Changed
RUPLET_V_DUPS2_1                ,Out-Of-Service,In-Service,Changed
VICTPORT_TL_1                   ,Out-Of-Service,In-Service,Changed
TM_WAP80_A                      ,Out-Of-Service,In-Service,Changed
STFWAP09_A                      ,Out-Of-Service,In-Service,Changed
BSFHN_02_A                      ,Out-Of-Service,In-Service,Changed
KR_TM_80_A                      ,Out-Of-Service,In-Service,Changed
AE_STR26_A                      ,Out-Of-Service,In-Service,Changed
AZ_QNM85_A                      ,Out-Of-Service,In-Service,Changed
BETFM_66_A                      ,Out-Of-Service,In-Service,Changed
GA_GL_63_A                      ,Out-Of-Service,In-Service,Changed
MTSPSA94_A                      ,Out-Of-Service,In-Service,Changed
161T213_1                       ,Out-Of-Service,In-Service,Changed
STFTAP09_1                      ,Out-Of-Service,In-Service,Changed
AF_STF09_A                      ,Out-Of-Service,In-Service,Changed
CARANC_PALACI1_1                ,Out-Of-Service,In-Service,Changed
G138_T_1                        ,Out-Of-Service,In-Service,Changed
ALCOA_JOSLIN1_1                 ,Out-Of-Service,In-Service,Changed
LOOP_VICTORIA_1                 ,Out-Of-Service,In-Service,Changed
COLETO_VICTOR1_1                ,Out-Of-Service,In-Service,Changed
BARCE_78_A                      ,Out-Of-Service,In-Service,Changed
TM_TAP80_1                      ,Out-Of-Service,In-Service,Changed
CKT_3123_1                      ,Out-Of-Service,In-Service,Changed
663T663_1                       ,Out-Of-Service,In-Service,Changed
PEC_PED_1                       ,Out-Of-Service,In-Service,Changed
213T378_1                       ,Out-Of-Service,In-Service,Changed
527T527_1                       ,Out-Of-Service,In-Service,Changed
CKT_919_1                       ,Out-Of-Service,In-Service,Changed
86T235_1                        ,Out-Of-Service,In-Service,Changed
88T234_1                        ,Out-Of-Service,In-Service,Changed
HILL_MAR_1_1                    ,Out-Of-Service,In-Service,Changed
156T113_1                       ,Out-Of-Service,In-Service,Changed
662T662_1                       ,Out-Of-Service,In-Service,Changed
CKT_1020_1                      ,Out-Of-Service,In-Service,Changed
1728__A                         ,Out-Of-Service,In-Service,Changed
B4_V2_1                         ,Out-Of-Service,In-Service,Changed
292T303_1                       ,Out-Of-Service,In-Service,Changed
293T304_1                       ,Out-Of-Service,In-Service,Changed
CKT_823_1                       ,Out-Of-Service,In-Service,Changed
414T414_1                       ,Out-Of-Service,In-Service,Changed
313T283_1                       ,Out-Of-Service,In-Service,Changed
N3_U2_1                         ,Out-Of-Service,In-Service,Changed
CKT_941_1                       ,Out-Of-Service,In-Service,Changed
318T313_1                       ,Out-Of-Service,In-Service,Changed
D3_G3_1                         ,Out-Of-Service,In-Service,Changed
95T302_1                        ,Out-Of-Service,In-Service,Changed
705T705_1                       ,Out-Of-Service,In-Service,Changed
E0_X2_1                         ,Out-Of-Service,In-Service,Changed
X2_LYTLE2_1                     ,Out-Of-Service,In-Service,Changed
344T344_1                       ,Out-Of-Service,In-Service,Changed
N3_P0_1                         ,Out-Of-Service,In-Service,Changed
625T625_1                       ,Out-Of-Service,In-Service,Changed
E1_R2_1                         ,Out-Of-Service,In-Service,Changed
1664__A                         ,Out-Of-Service,In-Service,Changed
166T208_1                       ,Out-Of-Service,In-Service,Changed
N3_R2_1                         ,Out-Of-Service,In-Service,Changed
BANGS_FIRERO1_1                 ,Out-Of-Service,In-Service,Changed
FIRERO_SANA_T1_1                ,Out-Of-Service,In-Service,Changed
MONTEL_UVALDE1_1                ,Out-Of-Service,In-Service,Changed
GOPHER_TLINE_1                  ,Out-Of-Service,In-Service,Changed
OVEJA_HICKMAN_A                 ,Out-Of-Service,In-Service,Changed
FORTMA_MASN1_1                  ,Out-Of-Service,In-Service,Changed
924T214_1                       ,Out-Of-Service,In-Service,Changed
LVOK_SANTIA1_1                  ,Out-Of-Service,In-Service,Changed
CLFK_QUAINT1_1                  ,Out-Of-Service,In-Service,Changed
CARVER_FRIEND1_1                ,Out-Of-Service,In-Service,Changed
CARVER_LVOK1_1                  ,Out-Of-Service,In-Service,Changed
CARVER_SONR1_1                  ,Out-Of-Service,In-Service,Changed
DOWNIE_READIN1_1                ,Out-Of-Service,In-Service,Changed
READIN_UVALDE1_1                ,Out-Of-Service,In-Service,Changed
6474__A                         ,Out-Of-Service,In-Service,Changed
SANA_SANA_T1_1                  ,Out-Of-Service,In-Service,Changed
FRPHIL_GILLES1_1                ,Out-Of-Service,In-Service,Changed
50T192_1                        ,Out-Of-Service,In-Service,Changed
448T448_1                       ,Out-Of-Service,In-Service,Changed
BENFIC_SAPOWE1_1                ,Out-Of-Service,In-Service,Changed
SAPOWE_SAST1_1                  ,Out-Of-Service,In-Service,Changed
SAMATH_TANK1_1                  ,Out-Of-Service,In-Service,Changed
ATSO_SONR1_1                    ,Out-Of-Service,In-Service,Changed
KNIPPA_SABINA1_1                ,Out-Of-Service,In-Service,Changed
SAPOWE_SOUTHL1_1                ,Out-Of-Service,In-Service,Changed
ATBR_MILES1_1                   ,Out-Of-Service,In-Service,Changed
